Location,Country,Latitude,Longitude
Yahodyn - Dorohusk,Poland,51.18522136,23.80777061
Uhryniv - Dolhobychuv,Poland,50.578525,24.083659
Ustyluh - Zosin,Poland,50.859265,24.134685
Rava-Ruska - Khrebenne,Poland,50.27454176,23.58850804
Krakivets - Korchova,Poland,49.95498654,23.11388688
Shehyni - Medyka,Poland,49.79971071,22.94735892
Hrushiv - Budomiezh,Poland,50.096915,23.28016
Smilnytsia - Krostsenko,Poland,49.481555,22.701307
Mamalyha - Кryva,Moldova,48.26573925,26.62339862
Rossoshany - Brichen,Moldova,48.37856529,27.04595033
Sokyriany - Oknytsia,Moldova,48.43939414,27.4628582
Mohyliv-Podilskyi - Otach,Moldova,48.44485856,27.79135141
Kuchurhan - Pervomaisk,Moldova,46.7372123,29.97443401
Vynohradivka - Vulcanesti,Moldova,45.69756986,28.5011048
Maiaky - Udobne-Palanka,Moldova,46.38454415,30.08740462
Basarabiaska,Moldova,46.32140605,28.99663571
Novi Troiany - Ceadir-Lunga,Moldova,45.98123168,28.84332629
Yampil - Soroca,Moldova,48.23847792,28.29835257
Platonove - Hoianul Nou,Moldova,47.4035178,29.32999898
Bolhan - Khristova,Moldova,48.13456,28.74098
Oleksiivka - Vadul Turkului,Moldova,47.96132,28.92512
Tymkove - Broshten,Moldova,47.87906,29.27395
Yosypivka-Kolosove,Moldova,47.34609,29.58513
Reni - Dzhiurdzhiulesht,Moldova,45.48163,28.22678
Diakove - Halmeu,Romania,48.00019427,23.00253023
Solotvyno-Sihetu Marmatsiiei,Romania,47.94060199,23.87810145
Porubne - Siret,Romania,47.9889805,26.0600757
Orlivka - Isaceea,Romania,45.29415433,28.45765853
Uzhhorod - Vyshnie-Niemetske,Slovakia,48.65552196,22.26598262
Malyi Bereznyi - Ubl'a,Slovakia,48.88520485,22.42062492
Dzvinkove - Lonia,Hungary,48.31842699,22.31821142
Chop (Tysa) - Zakhon,Hungary,48.41859369,22.17006581
Vylok - Tisabech,Hungary,48.09391098,22.8351653
Luzhanka - Berehshuran,Hungary,48.16675156,22.57404861
Kosyno - Barabás,Hungary,48.24615527,22.44577355
Vilcha - Oleksandrivka,Belarus,51.3756116,29.4093392
Vystupovychi - Nova Rudnia,Belarus,51.6234756,29.0846322
Maidan-Kopyshchanskyi - Hlushkevychi,Belarus,51.5386948,27.846827
Novi Yarylovychi - Nova Huta,Belarus,52.074702,30.969933
Slavutych - Komaryn,Belarus,51.399221,30.657726
Horodyshche - Verkhnii Terebezhiv,Belarus,51.81886,26.69001
Prykladnyky - Nevel,Belarus,51.9229717,25.8444049
Domanove - Mokrany,Belarus,51.8205861,24.3223662
Pishcha - Oltush,Belarus,51.6413327,23.8776285
Pulemets - Tomashivka,Belarus,51.5602995,23.6520937
Dolsk - Mokhro,Belarus,51.9028731,25.5111153
Senkivka - Veselivka,Belarus,52.11159,31.78136
Hremiach - Pohar,Russian Federation,52.36699106,33.24620386
Katerynivka - Krupets,Russian Federation,51.64909047,34.12556717
Velyka Pysarivka - Hraivoron,Russian Federation,50.43111755,35.58616421
Pletenivka - Shebekino,Russian Federation,50.34816962,36.92279725
Milove - Chertkovo,Russian Federation,49.38424664,40.11999092
Hoptivka - Nehotievka,Russian Federation,50.33285283,36.27979385
Prosiane - Buhaiovka,Russian Federation,49.60887819,39.71073001
Novoazovsk - Veselo-Voznesenka,Russian Federation,47.15937,38.22565
Marynivka - Kuibyshevo,Russian Federation,47.86636,38.85834
Dovzhansky - Novoshakhtinsk,Russian Federation,47.84687,39.75572
Sievernyi - Donetsk,Russian Federation,48.34718,39.9188
Krasnodarskyi - Nizhniy Shevyrev,Russian Federation,48.29914,39.96416
Izvaryne - Donetsk,Russian Federation,48.29103,39.91021
Krasna Talivka - Voloshino,Russian Federation,48.89044,39.8569
Pisky - Lohachivka,Russian Federation,49.9991,37.94962
Chuhunivka - Veryhivka,Russian Federation,50.19629,37.63679
Pokrovka - Kolotylіvka,Russian Federation,50.81345,35.40964
Bachivsk - Troiebortne,Russian Federation,51.87484,34.32339
Senkivka - Novi Yurkovychi,Russian Federation,52.11158,31.78191
